Language,QS204code,Total_exclude,Topresult_3pcplus_8plus_count,Secondresult_3pcplus_8plus_count
All usual residents aged 3 and over,Q01,Yes,,
English (English or Welsh if in Wales),Q02,Yes,,
Welsh/Cymraeg (in England only),Q03,,1,2
Other UK language: Total,Q04,Yes,,
Other UK language: Gaelic (Irish) ,Q05,,1,1
Other UK language: Gaelic (Scottish),Q06,,,
Other UK language: Manx Gaelic,Q07,,,
Other UK language: Gaelic (Not otherwise specified)  ,Q08,,,
Other UK language: Cornish,Q09,,,
Other UK language: Scots,Q10,,,
Other UK language: Gypsy/Traveller languages,Q11,,1,
French,Q12,,1337,605
Portuguese,Q13,,1043,745
Spanish,Q14,,850,637
Other European Language (EU): Total,Q15,Yes,,
Other European Language (EU): Italian,Q16,,382,335
Other European Language (EU): German,Q17,,194,127
Other European Language (EU): Polish,Q18,,12815,2680
Other European Language (EU): Slovak,Q19,,156,140
Other European Language (EU): Czech,Q20,,59,44
Other European Language (EU): Romanian,Q21,,280,370
Other European Language (EU): Lithuanian,Q22,,640,451
Other European Language (EU): Latvian,Q23,,102,146
Other European Language (EU): Hungarian,Q24,,97,81
Other European Language (EU): Bulgarian,Q25,,110,114
Other European Language (EU): Greek,Q26,,221,200
Other European Language (EU): Dutch,Q27,,18,5
Other European Language (EU): Swedish,Q28,,22,14
Other European Language (EU): Danish,Q29,,5,3
Other European Language (EU): Finnish,Q30,,1,
Other European Language (EU): Estonian,Q31,,3,1
Other European Language (EU): Slovenian,Q32,,,
Other European Language (EU): Maltese,Q33,,,
Other European Language (EU): Any other European Language (EU),Q34,,1,1
Other European Language (non EU): Total,Q35,Yes,,
Other European Language (non EU): Albanian,Q36,,97,95
Other European Language (non EU): Serbian/Croatian/Bosnian,Q37,,20,9
Other European Language (non EU): Ukrainian,Q38,,2,2
Other European Language (non EU): Any other Eastern European Language (non EU),Q39,,,
Other European Language (non EU): Northern European Language (non EU),Q40,,14,6
Other European Language (non-national): Total,Q41,Yes,,
Other European Language (non-national): Romani language (any),Q42,,1,
Other European Language (non-national): Yiddish,Q43,,74,20
Russian,Q44,,107,156
Turkish,Q45,,1507,357
Arabic,Q46,,1742,993
West/Central Asian Language: Total,Q47,Yes,,
West/Central Asian Language: Hebrew,Q48,,15,21
West/Central Asian Language: Kurdish,Q49,,236,256
West/Central Asian Language: Persian/Farsi,Q50,,352,354
West/Central Asian Language: Pashto,Q51,,135,162
West/Central Asian Language: West/Central Asian Language (all other),Q52,,6,13
South Asian Language: Total,Q53,Yes,,
South Asian Language: Urdu,Q54,,3214,2436
South Asian Language: Hindi,Q55,,70,106
South Asian Language: Panjabi,Q56,,3739,1781
South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Q57,,49,172
South Asian Language: Bengali (with Sylheti and Chatgaya),Q58,,2625,1032
South Asian Language: Gujarati,Q59,,2560,978
South Asian Language: Marathi,Q60,,7,8
South Asian Language: Telugu,Q61,,38,42
South Asian Language: Tamil,Q62,,983,670
South Asian Language: Malayalam,Q63,,236,90
South Asian Language: Sinhala,Q64,,17,11
South Asian Language: Nepalese,Q65,,806,202
South Asian Language: South Asian Language (all other),Q66,,29,65
East Asian Language: Total,Q67,Yes,,
East Asian Language: Mandarin Chinese,Q68,,13,19
East Asian Language: Cantonese Chinese,Q69,,108,96
East Asian Language: All other Chinese,Q70,,1359,501
East Asian Language: Japanese,Q71,,154,65
East Asian Language: Korean,Q72,,115,41
East Asian Language: Vietnamese,Q73,,26,32
East Asian Language: Thai,Q74,,19,20
East Asian Language: Malay,Q75,,45,43
East Asian Language: Tagalog/Filipino,Q76,,503,227
East Asian Language: East Asian Language (all other),Q77,,14,7
Oceanic/Australian language (any),Q78,,5,5
North/South American language (any),Q79,,,
Caribbean Creole: Total,Q80,Yes,,
Caribbean Creole: Caribbean Creole (English-based),Q81,,,
Caribbean Creole: Caribbean Creole (all other),Q82,,,
African Language: Total,Q83,Yes,,
African Language: Amharic,Q84,,5,10
African Language: Tigrinya,Q85,,39,36
African Language: Somali,Q86,,851,739
African Language: Krio,Q87,,,
African Language: Akan,Q88,,22,39
African Language: Yoruba,Q89,,46,22
African Language: Igbo,Q90,,5,6
African Language: Swahili/Kiswahili,Q91,,31,45
African Language: Luganda,Q92,,1,1
African Language: Lingala,Q93,,1,2
African Language: Shona,Q94,,31,12
African Language: Afrikaans,Q95,,13,12
African Language: Any other Nigerian language,Q96,,1,5
African Language: West African language (all other),Q97,,8,7
African Language: African language (all other),Q98,,17,10
Other Languages: Total,Q99,,11,11
Other Languages: All other languages,Q00,,,
Sign Language: Total,QS1,Yes,,
Sign Language: British sign language,QS2,,17,3
Sign Language: Sign Language (all other),QS3,,2,2
Sign Language: Any Sign Communication System,QS4,,5,